#{"t_start": 1744843828.1221945, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
370.0,2449,2024.424772
450.0,2529,2026.559773
2170.0,3753,2029.812773
370.0,2673,2032.012773
690.0,3129,2034.178771
590.0,2641,2036.439772
1240.0,3417,2039.098772
840.0,2953,2041.389773
530.0,3049,2043.661775
350.0,2553,2045.840772
260.0,2345,2047.386773
490.0,2537,2049.475772
240.0,2465,2051.821774
590.0,2833,2053.969773
440.0,2569,2056.263772
360.0,1793,2057.629773
250.0,3337,2060.691772
730.0,3001,2063.651772
580.0,2721,2066.248775
650.0,3105,2068.375774
630.0,3297,2071.161773
290.0,2609,2073.408774
810.0,2465,2075.170772
460.0,2049,2077.008773
460.0,2345,2078.544772
500.0,2529,2080.794773
410.0,3105,2083.521775
750.0,3617,2086.802773
610.0,2361,2088.543773
450.0,2409,2090.836773
700.0,2585,2092.728772
960.0,2585,2094.887772
640.0,2769,2097.313775
590.0,2641,2099.301772
710.0,2993,2102.062775
410.0,2273,2104.077772
520.0,2793,2106.092772
590.0,2321,2108.221773
300.0,2721,2110.710774
550.0,3329,2112.916775
520.0,2601,2115.104772
300.0,2553,2117.343773
390.0,2473,2119.172773
700.0,4121,2122.935776
370.0,1793,2124.697775
740.0,2849,2126.921771
750.0,2529,2129.150772
350.0,2841,2131.569772
840.0,4609,2135.310773
340.0,2705,2137.280772
680.0,2697,2139.642773
440.0,2681,2141.831774
960.0,3625,2144.779776
260.0,2377,2146.407773
770.0,3577,2149.278773
630.0,2785,2151.768772
630.0,3729,2154.754772
