#{"t_start": 1745049255.1946304, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
510.0,1921,3547.366374
940.0,2345,3552.937724
1170.0,2745,3559.481179
1630.0,4169,3569.398663
460.0,2441,3575.182005
440.0,1945,3579.78928
790.0,2393,3585.476157
330.0,1601,3589.243694
410.0,2337,3594.778353
750.0,3305,3602.59199
330.0,1761,3606.874865
370.0,1601,3610.707863
400.0,1913,3615.273688
300.0,1305,3618.31585
1370.0,3545,3626.855475
460.0,2321,3632.347984
390.0,1649,3636.30439
610.0,1921,3640.927917
1490.0,4145,3650.88561
750.0,2673,3657.187423
640.0,1953,3661.850911
540.0,2593,3667.953977
260.0,2209,3673.123693
580.0,2473,3678.964592
450.0,1737,3683.203033
680.0,2721,3689.592611
1360.0,3193,3697.256966
640.0,2737,3703.787776
550.0,1961,3708.377798
460.0,2241,3713.800435
1300.0,3145,3721.426324
840.0,2433,3727.24166
380.0,1873,3731.696222
950.0,3089,3739.107357
420.0,1657,3743.223418
390.0,2041,3748.089462
670.0,2281,3753.471452
770.0,3209,3761.152078
860.0,2881,3768.053368
590.0,2449,3773.885936
590.0,2649,3780.359299
1720.0,5489,3793.421952
590.0,2185,3798.603338
600.0,2729,3805.11731
310.0,2025,3810.05
930.0,3009,3817.387345
700.0,2329,3822.913178
740.0,3121,3830.596489
1530.0,3785,3839.236749
660.0,3049,3846.280867
360.0,2233,3851.75916
460.0,2489,3857.646078
670.0,2777,3864.324209
1010.0,2337,3869.823419
1730.0,5225,3882.346584
350.0,2865,3889.190139
1260.0,3113,3896.622886
390.0,1585,3900.435769
320.0,2177,3905.717231
810.0,3321,3913.734193
1470.0,2817,3920.457669
630.0,2033,3925.351458
400.0,2457,3931.068466
870.0,2857,3937.816612
500.0,2121,3942.86423
490.0,2169,3948.13664
390.0,1889,3952.673029
540.0,2513,3958.746293
1200.0,3209,3966.360547
970.0,3121,3973.7626
400.0,1481,3977.310587
660.0,2489,3983.277961
960.0,2929,3990.104507
450.0,1681,3993.873455
500.0,1977,3998.426712
680.0,2521,4004.12412
510.0,2057,4008.743063
920.0,2609,4014.623711
750.0,2593,4020.553233
1100.0,3553,4028.535506
430.0,2009,4033.086526
1030.0,2769,4039.336672
1480.0,3569,4047.316517
500.0,2041,4051.953138
1430.0,2929,4058.614364
630.0,2057,4063.214304
440.0,2737,4069.449442
620.0,2513,4075.114585
1360.0,3441,4082.966139
580.0,2225,4088.055444
430.0,1785,4092.049235
430.0,1825,4096.128095
710.0,2265,4101.492995
490.0,2065,4106.459348
370.0,1785,4110.641482
310.0,1385,4113.931089
470.0,1969,4118.573782
1210.0,3009,4125.789546
1390.0,3073,4133.090946
680.0,2561,4139.061716
390.0,1689,4143.103864
360.0,2433,4148.976696
1160.0,2489,4154.837093
1360.0,3065,4162.25079
530.0,2265,4167.755926
1160.0,3809,4176.914701
440.0,1681,4180.849148
1120.0,3329,4188.664454
510.0,1849,4193.086449
350.0,1865,4197.549984
1040.0,3697,4206.311514
1460.0,3281,4214.203823
560.0,2385,4219.950204
510.0,2593,4226.211615
580.0,2393,4231.828672
490.0,1697,4235.812663
1190.0,3505,4244.242842
800.0,2153,4249.393895
480.0,2441,4255.322381
950.0,2465,4261.304821
290.0,1361,4264.618199
180.0,1265,4267.654053
630.0,2329,4273.186566
1170.0,3153,4280.814036
300.0,1617,4284.726303
1420.0,3209,4292.602714
900.0,2681,4299.016788
570.0,2681,4305.349058
900.0,2609,4311.61526
350.0,1833,4315.964381
420.0,1649,4319.885632
750.0,2817,4326.486486
440.0,1537,4330.139379
560.0,3193,4337.767924
1880.0,2545,4343.810864
1300.0,4105,4353.707877
780.0,2497,4359.54334
